"Problem,""Package"",""File"",""Priority"",""Line"",""Description"",""Rule set"",""Rule""";;
"1,""ticketmanagement"",""src/ticketmanagement/Admin.java"",""3"",""8"",""Avoid unnecessary constructors - the compiler will generate these for you"",""Controversial Rules"",""UnnecessaryConstructor""";;
"2,""ticketmanagement"",""src/ticketmanagement/Admin.java"",""3"",""8"",""Document empty constructor"",""Design Rules"",""UncommentedEmptyConstructor""";;
"3,""ticketmanagement"",""src/ticketmanagement/Admin.java"",""3"",""8"",""It is a good practice to call super() in a constructor"",""Controversial Rules"",""CallSuperInConstructor""";;
"4,""ticketmanagement"",""src/ticketmanagement/Cashier.java"",""3"",""5"",""Found non-transient, non-static member. Please mark as transient or provide accessors."",""JavaBean Rules"",""BeanMembersShouldSerialize""";;
"5,""ticketmanagement"",""src/ticketmanagement/Cashier.java"",""3"",""7"",""Avoid variables with short names like id"",""Naming Rules"",""ShortVariable""";;
"6,""ticketmanagement"",""src/ticketmanagement/Cashier.java"",""3"",""7"",""Parameter 'id' is not assigned and could be declared final"",""Optimization Rules"",""MethodArgumentCouldBeFinal""";;
"7,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""6"",""All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning."",""Design Rules"",""UseSingleton""";;
"8,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""9"",""Ensure that resources like this Connection object are closed after use"",""Design Rules"",""CloseResource""";;
"9,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""5"",""9"",""Found 'DD'-anomaly for variable 'connection' (lines '9'-'19')."",""Controversial Rules"",""DataflowAnomalyAnalysis""";;
"10,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""16"",""Local variable 'url' could be declared final"",""Optimization Rules"",""LocalVariableCouldBeFinal""";;
"11,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""17"",""Local variable 'username' could be declared final"",""Optimization Rules"",""LocalVariableCouldBeFinal""";;
"12,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""18"",""Local variable 'password' could be declared final"",""Optimization Rules"",""LocalVariableCouldBeFinal""";;
"13,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""2"",""20"",""System.out.print is used"",""Java Logging Rules"",""SystemPrintln""";;
"14,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""2"",""26"",""System.out.print is used"",""Java Logging Rules"",""SystemPrintln""";;
"15,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""2"",""31"",""System.out.print is used"",""Java Logging Rules"",""SystemPrintln""";;
"16,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""2"",""32"",""System.out.print is used"",""Java Logging Rules"",""SystemPrintln""";;
"17,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""37"",""Avoid printStackTrace()";" use a logger call instead."",""Java Logging Rules"",""AvoidPrintStackTrace""";
"18,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""41"",""Avoid printStackTrace()";" use a logger call instead."",""Java Logging Rules"",""AvoidPrintStackTrace""";
"19,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""46"",""Parameter 'connection' is not assigned and could be declared final"",""Optimization Rules"",""MethodArgumentCouldBeFinal""";;
"20,""ticketmanagement"",""src/ticketmanagement/DatabaseInteraction.java"",""3"",""57"",""Avoid printStackTrace()";" use a logger call instead."",""Java Logging Rules"",""AvoidPrintStackTrace""";
"21,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""17"",""Found non-transient, non-static member. Please mark as transient or provide accessors."",""JavaBean Rules"",""BeanMembersShouldSerialize""";;
"22,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""17"",""Use explicit scoping instead of the default package private level"",""Controversial Rules"",""DefaultPackage""";;
"23,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""18"",""Use explicit scoping instead of the default package private level"",""Controversial Rules"",""DefaultPackage""";;
"24,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""19"",""Found non-transient, non-static member. Please mark as transient or provide accessors."",""JavaBean Rules"",""BeanMembersShouldSerialize""";;
"25,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""19"",""Use explicit scoping instead of the default package private level"",""Controversial Rules"",""DefaultPackage""";;
"26,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""20"",""Found non-transient, non-static member. Please mark as transient or provide accessors."",""JavaBean Rules"",""BeanMembersShouldSerialize""";;
"27,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""20"",""Use explicit scoping instead of the default package private level"",""Controversial Rules"",""DefaultPackage""";;
"28,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""21"",""Found non-transient, non-static member. Please mark as transient or provide accessors."",""JavaBean Rules"",""BeanMembersShouldSerialize""";;
"29,""ticketmanagement"",""src/ticketmanagement/LoginInterface.java"",""3"",""21"",""Use explicit scoping instead of the default package private level"",""Controversial Rules"",""DefaultPackage""";;
